l4at56um-in-pool1pts-25deg-250rpm20/11/202215:03:19	
Time (seconds)	Raw Heat Rate (uJ / s)
763	-94,35965209
764	-94,36447245
765	-94,36909347
766	-94,37353987
767	-94,37790701
768	-94,3822182
769	-94,38653848
770	-94,39097273
771	-94,3954775
772	-94,39984605
773	-94,4041804
774	-94,40860588
775	-94,41310475
776	-94,41764025
777	-94,42227686
778	-94,42712069
779	-94,4322011
780	-94,43751033
781	-94,4429078
782	-94,44833109
783	-94,45374782
784	-94,45912972
785	-94,46439805
786	-94,46943286
787	-94,47424399
788	-94,4787417
789	-94,48288933
790	-94,48694156
791	-94,49107745
792	-94,49537445
793	-94,49975521
794	-94,50416512
795	-94,50860616
796	-94,51318137
797	-94,51792412
798	-94,52285227
799	-94,52800671
800	-94,53342533
801	-94,53924777
802	-94,54548185
803	-94,55221214
804	-94,55935445
805	-94,56670306
806	-94,57419998
807	-94,58181648
808	-94,58959275
809	-94,59751757
810	-94,60549391
811	-94,61336737
812	-94,62112108
813	-94,62878893
814	-94,63637714
815	-94,64384661
816	-94,65112359
817	-94,65807913
818	-94,66455014
819	-94,67063763
820	-94,67634151
821	-94,68166157
822	-94,68657621
823	-94,6911092
824	-94,69533029
825	-94,69939449
826	-94,70343745
827	-94,70750214
828	-94,71152328
829	-94,71539382
830	-94,71918216
831	-94,72277606
832	-94,72625134
833	-94,72980127
834	-94,7335004
835	-94,73729911
836	-94,74113401
837	-94,74500506
838	-94,74889537
839	-94,75286409
840	-94,75688132
841	-94,76091788
842	-94,7649268
843	-94,768862
844	-94,77271579
845	-94,77643153
846	-94,78007345
847	-94,78357089
848	-94,78684851
849	-94,78979534
850	-94,79250325
851	-94,7952186
852	-94,79804004
853	-94,80094563
854	-94,80394527
855	-94,80711847
856	-94,81052219
857	-94,81417248
858	-94,81821753
859	-94,82267117
860	-94,82750545
861	-94,8326785
862	-94,83817009
863	-94,84384855
864	-94,84977982
865	-94,85600339
866	-94,86236093
867	-94,86871683
868	-94,87518229
869	-94,88177163
870	-94,88843672
871	-94,89516508
872	-94,90190416
873	-94,90848034
874	-94,91480743
875	-94,92070408
876	-94,9261437
877	-94,93129079
878	-94,93658858
879	-94,94224186
880	-94,9482015
881	-94,95440738
882	-94,96079514
883	-94,96729487
884	-94,97382705
885	-94,98020832
886	-94,98647732
887	-94,9927536
888	-94,99906646
889	-95,00546328
890	-95,01218112
891	-95,01932496
892	-95,02679881
893	-95,03429164
894	-95,04160268
895	-95,04884543
896	-95,05618927
897	-95,06373868
898	-95,07125834
899	-95,0786065
900	-95,08586753
901	-95,09291818
902	-95,09965238
903	-95,10616216
904	-95,11266133
905	-95,11916856
906	-95,12556375
907	-95,13187005
908	-95,13802354
909	-95,14387526
910	-95,14924345
911	-95,15404954
912	-95,15840014
913	-95,16258111
914	-95,16680296
915	-95,17114791
916	-95,17561794
917	-95,18027754
918	-95,18523113
919	-95,19043058
920	-95,1957669
921	-95,20124228
922	-95,20678762
923	-95,2123712
924	-95,2181638
925	-95,22425443
926	-95,2305603
927	-95,2369848
928	-95,24335404
929	-95,24959929
930	-95,25568425
931	-95,26166556
932	-95,26759291
933	-95,27335822
934	-95,27886416
935	-95,28418976
936	-95,28936797
937	-95,29453462
938	-95,29981283
939	-95,30511053
940	-95,3104395
941	-95,315914
942	-95,32147853
943	-95,32716768
944	-95,33300627
945	-95,33902934
946	-95,34516788
947	-95,35128722
948	-95,35731853
949	-95,36323746
950	-95,36906384
951	-95,3748159
952	-95,3804162
953	-95,38590508
954	-95,39133192
955	-95,39662539
956	-95,40168249
957	-95,40664061
958	-95,41160339
959	-95,41652898
960	-95,42134111
961	-95,42596912
962	-95,43048601
963	-95,43495922
964	-95,43948939
965	-95,44406453
966	-95,44880263
967	-95,45375693
968	-95,45886787
969	-95,46412569
970	-95,46966129
971	-95,47563667
972	-95,48199573
973	-95,4885623
974	-95,49530365
975	-95,50227607
976	-95,50963845
977	-95,51737545
978	-95,52541717
979	-95,53358844
980	-95,54187432
981	-95,55026747
982	-95,55877678
983	-95,56744566
984	-95,57632645
985	-95,58529238
986	-95,59413874
987	-95,6027323
988	-95,61105144
989	-95,6191252
990	-95,62709974
991	-95,63504825
992	-95,64294429
993	-95,65083834
994	-95,65878391
995	-95,66674847
996	-95,67467027
997	-95,68247752
998	-95,6900847
999	-95,69743685
1000	-95,70456974
1001	-95,71154794
1002	-95,71839422
1003	-95,72517536
1004	-95,73188255
1005	-95,73833212
1006	-95,74445206
1007	-95,75025489
1008	-95,75571805
1009	-95,76081751
1010	-95,76550514
1011	-95,76976025
1012	-95,77365171
1013	-95,7772898
1014	-95,78075441
1015	-95,78405181
1016	-95,78725301
1017	-95,7904773
