stp2loop16-63um-in-loop1pts-10um-25deg-250rpm05/12/202208:50:59	
Time (seconds)	Raw Heat Rate (uJ / s)
1017	-96,02898863
1018	-96,03305512
1019	-96,03657474
1020	-96,03948288
1021	-96,04183725
1022	-96,04375216
1023	-96,0454256
1024	-96,04702889
1025	-96,04852011
1026	-96,04990198
1027	-96,05118939
1028	-96,05240549
1029	-96,05370065
1030	-96,05513546
1031	-96,05672731
1032	-96,05861114
1033	-96,06081372
1034	-96,06339237
1035	-96,06641042
1036	-96,06980097
1037	-96,07348781
1038	-96,07740331
1039	-96,08145508
1040	-96,08557173
1041	-96,08966256
1042	-96,0937446
1043	-96,09786725
1044	-96,10197846
1045	-96,10612667
1046	-96,11034347
1047	-96,11454781
1048	-96,11883584
1049	-96,12334297
1050	-96,12804327
1051	-96,13291795
1052	-96,13786083
1053	-96,14265615
1054	-96,14720078
1055	-96,15157882
1056	-96,15595187
1057	-96,16035884
1058	-96,16481701
1059	-96,16931723
1060	-96,17372147
1061	-96,17792393
1062	-96,18187497
1063	-96,18552691
1064	-96,18884751
1065	-96,19192119
1066	-96,19483269
1067	-96,19772366
1068	-96,20076541
1069	-96,20399687
1070	-96,20735494
1071	-96,21075639
1072	-96,2141389
1073	-96,2174103
1074	-96,2205189
1075	-96,22342494
1076	-96,22607313
1077	-96,22848195
1078	-96,23074958
1079	-96,23290397
1080	-96,23493547
1081	-96,23693022
1082	-96,23900426
1083	-96,24130614
1084	-96,24397188
1085	-96,24701759
1086	-96,25044068
1087	-96,25420214
1088	-96,25816
1089	-96,26222782
1090	-96,26640046
1091	-96,27071867
1092	-96,27525222
1093	-96,28003308
1094	-96,2850442
1095	-96,29023617
1096	-96,29549866
1097	-96,30071288
1098	-96,30582213
1099	-96,31075624
1100	-96,31543637
1101	-96,31967166
1102	-96,32336655
1103	-96,32659315
1104	-96,32942393
1105	-96,33187336
1106	-96,33399794
1107	-96,33582812
1108	-96,33733183
1109	-96,33850937
1110	-96,33936708
1111	-96,33997917
1112	-96,34043895
1113	-96,34067166
1114	-96,34054756
1115	-96,34011478
1116	-96,33949976
1117	-96,33883934
1118	-96,33816476
1119	-96,33746554
1120	-96,33679008
1121	-96,3361177
1122	-96,33541262
1123	-96,33468784
1124	-96,33396207
1125	-96,33328164
1126	-96,33261068
1127	-96,33185134
1128	-96,33096525
1129	-96,33003483
1130	-96,32915387
1131	-96,32839695
1132	-96,32782728
1133	-96,32747745
1134	-96,3273249
1135	-96,32731922
1136	-96,32728953
1137	-96,32708749
1138	-96,3266916
1139	-96,32614309
1140	-96,32550661
1141	-96,32485895
1142	-96,3242843
1143	-96,32388488
1144	-96,32371255
1145	-96,32369232
1146	-96,32377298
1147	-96,32385068
1148	-96,32381378
1149	-96,32357946
1150	-96,32307177
1151	-96,32234835
1152	-96,32160903
1153	-96,32102493
1154	-96,32061595
1155	-96,32038507
1156	-96,32027052
1157	-96,3201532
1158	-96,31985702
1159	-96,3192591
1160	-96,31829691
1161	-96,31692324
