1pts-51um-l8-7.7um-25deg-150rpm24/11/202208:42:41	
Time (seconds)	Raw Heat Rate (uJ / s)
1270	-96,39954403
1271	-96,40010493
1272	-96,40099793
1273	-96,40206227
1274	-96,4031602
1275	-96,40423771
1276	-96,40524835
1277	-96,40610825
1278	-96,40679583
1279	-96,40733184
1280	-96,40775755
1281	-96,40815156
1282	-96,40855246
1283	-96,40893649
1284	-96,40922611
1285	-96,40935201
1286	-96,40921201
1287	-96,40885109
1288	-96,40845506
1289	-96,40811351
1290	-96,40784408
1291	-96,40759823
1292	-96,40732063
1293	-96,40702767
1294	-96,40670119
1295	-96,40631741
1296	-96,40582673
1297	-96,40522005
1298	-96,4045006
1299	-96,40374647
1300	-96,40303457
1301	-96,4023296
1302	-96,4015613
1303	-96,4006987
1304	-96,39975625
1305	-96,39870909
1306	-96,39760951
1307	-96,39656293
1308	-96,39553058
1309	-96,394504
1310	-96,39354504
1311	-96,39264531
1312	-96,39175507
1313	-96,39085286
1314	-96,38985761
1315	-96,388713
1316	-96,38747714
1317	-96,38614527
1318	-96,38462482
1319	-96,38290206
1320	-96,3811542
1321	-96,37942186
1322	-96,37766373
1323	-96,37590719
1324	-96,37415179
1325	-96,37231097
1326	-96,37038747
1327	-96,36846911
1328	-96,36654447
1329	-96,36465864
1330	-96,36285756
1331	-96,36111743
1332	-96,35946737
1333	-96,35798462
1334	-96,35661548
1335	-96,35516656
1336	-96,35363027
1337	-96,35204936
1338	-96,35044074
1339	-96,34880511
1340	-96,34715489
1341	-96,34550204
1342	-96,34381461
1343	-96,34212226
1344	-96,3403556
1345	-96,33846031
1346	-96,33641765
1347	-96,33421859
1348	-96,3319219
1349	-96,32969618
1350	-96,32765737
1351	-96,32574189
1352	-96,32391171
1353	-96,32217875
1354	-96,32058763
1355	-96,319172
1356	-96,31792204
1357	-96,31683921
1358	-96,31595487
1359	-96,31530619
1360	-96,31489211
1361	-96,31469617
1362	-96,31466141
1363	-96,31469981
1364	-96,31475065
1365	-96,31477511
1366	-96,31479652
1367	-96,31489229
1368	-96,31509252
1369	-96,31536937
1370	-96,31566609
1371	-96,31593961
1372	-96,31613663
1373	-96,31615828
1374	-96,31601722
1375	-96,31572346
1376	-96,315329
1377	-96,31494205
1378	-96,31460993
1379	-96,31426735
1380	-96,3138886
1381	-96,31349706
1382	-96,31309269
1383	-96,31267373
1384	-96,31229224
1385	-96,31197808
1386	-96,31171021
1387	-96,31150378
1388	-96,31139326
1389	-96,31135109
1390	-96,31138689
1391	-96,31147581
1392	-96,31154917
1393	-96,31156795
1394	-96,31155233
1395	-96,31146543
1396	-96,31126501
1397	-96,31086307
1398	-96,31023314
1399	-96,30933398
1400	-96,30818389
1401	-96,30685509
1402	-96,30534408
1403	-96,30361453
1404	-96,30167627
1405	-96,29956904
1406	-96,29729151
1407	-96,29487809
1408	-96,29235822
1409	-96,28966159
1410	-96,28679982
1411	-96,28383021
1412	-96,28077869
1413	-96,2776008
1414	-96,27420396
1415	-96,27057097
1416	-96,26677891
1417	-96,26290263
1418	-96,25901442
1419	-96,25513964
1420	-96,25124149
1421	-96,24742414
1422	-96,24378548
1423	-96,2402816
1424	-96,23697939
1425	-96,23393044
1426	-96,23108736
1427	-96,22849543
1428	-96,22626352
1429	-96,22445531
1430	-96,22300413
1431	-96,22181531
1432	-96,22083857
1433	-96,21997716
1434	-96,21915211
1435	-96,21840244
1436	-96,21765496
1437	-96,21683288
1438	-96,21601134
1439	-96,21519559
1440	-96,21432582
1441	-96,21337778
1442	-96,21232124
1443	-96,21114061
1444	-96,20988418
1445	-96,20862366
1446	-96,2073939
1447	-96,20618054
1448	-96,20500068
1449	-96,20387742
1450	-96,20273248
1451	-96,20149046
1452	-96,20015839
1453	-96,19866918
1454	-96,19698787
1455	-96,19516983
1456	-96,19322256
1457	-96,19116806
1458	-96,1890061
1459	-96,18670425
1460	-96,18424242
1461	-96,18161416
1462	-96,17880879
1463	-96,17587997
1464	-96,17288994
1465	-96,16990591
1466	-96,16698737
1467	-96,16408335
1468	-96,16116433
1469	-96,15824732
1470	-96,15535189
1471	-96,15254009
1472	-96,1498424
1473	-96,14725328
1474	-96,14479634
1475	-96,14249237
1476	-96,14030048
1477	-96,13823861
