scan 1120/11/202208:13:50		
temp(°=C)	power	time(seconds)
32,31048965	-1,049836755	1639,9104
32,41240311	-1,034533739	1646,026611
32,51433563	-1,024373889	1652,142212
32,61631775	-1,023493052	1658,262451
32,71819687	-1,02129674	1664,375244
32,82009125	-1,016794205	1670,487793
32,9221077	-1,011544108	1676,612183
33,0240593	-1,005675554	1682,728149
33,12595749	-0,987118781	1688,839111
33,22788239	-0,962891817	1694,954468
33,32980347	-0,942504823	1701,071289
33,43177795	-0,934087873	1707,188843
33,53381348	-0,927429199	1713,308594
33,6356926	-0,91907227	1719,423096
33,73761749	-0,915416002	1725,539795
33,83950806	-0,908719897	1731,652954
33,94131088	-0,897551835	1737,759766
34,04325104	-0,891678393	1743,877563
34,14515686	-0,887646675	1749,991577
34,24708176	-0,884184837	1756,108032
34,34894562	-0,875889301	1762,219727
34,45093536	-0,878015697	1768,338867
34,552948	-0,875255942	1774,458374
34,6549263	-0,867830276	1780,57666
34,75695038	-0,850531578	1786,700806
34,85893631	-0,835219204	1792,819214
34,96086121	-0,817397714	1798,933594
35,0629158	-0,816628039	1805,057739
35,16488266	-0,821139336	1811,174927
35,26679993	-0,825089872	1817,28894
35,36868286	-0,82670933	1823,404053
35,47064209	-0,824708998	1829,520874
35,57252884	-0,820269704	1835,63269
35,67443848	-0,816534519	1841,748901
35,77638245	-0,815092802	1847,864746
35,87827301	-0,808865488	1853,977783
35,98022079	-0,802267909	1860,095215
36,08213806	-0,801746786	1866,210938
36,184021	-0,797370672	1872,322632
36,28604889	-0,791172266	1878,443359
36,38790894	-0,776346266	1884,554688
36,48974609	-0,76702553	1890,666382
36,59156799	-0,761282027	1896,776001
36,69338608	-0,748628497	1902,885376
36,79532242	-0,737286329	1909,001831
36,8973465	-0,731350124	1915,12207
36,99919891	-0,711185515	1921,234985
37,10106277	-0,677477419	1927,346802
37,20293427	-0,649948835	1933,460815
37,30478668	-0,644887567	1939,57251
37,40677261	-0,639896929	1945,687988
37,50857925	-0,628058195	1951,796509
37,61045837	-0,624131918	1957,911865
37,71240234	-0,620401382	1964,026978
37,81429291	-0,615026116	1970,141357
37,91620255	-0,609132409	1976,254272
38,01811218	-0,602218747	1982,36853
38,11991882	-0,605142832	1988,477905
38,22185135	-0,605752707	1994,595337
38,32385254	-0,595899224	2000,71228
38,42570114	-0,587838888	2006,824097
38,52762222	-0,582106769	2012,941528
38,62945557	-0,56997329	2019,049927
38,73137665	-0,561735392	2025,164185
38,83330154	-0,557121754	2031,280884
38,93517685	-0,549546778	2037,393555
39,0370903	-0,541165411	2043,508545
39,13904953	-0,527865529	2049,624512
39,24084091	-0,523309946	2055,730469
39,34260559	-0,524863601	2061,838867
39,44455719	-0,521442533	2067,956543
39,54644775	-0,516200423	2074,068115
39,64824677	-0,51059413	2080,176514
39,75006485	-0,503744781	2086,287109
39,85206985	-0,494499087	2092,406982
39,95396805	-0,480112821	2098,520264
40,05589294	-0,473768681	2104,637695
40,15785217	-0,465209901	2110,753174
40,25973892	-0,450576723	2116,864258
40,36162949	-0,439270318	2122,980469
40,46357727	-0,434842527	2129,097656
40,56563187	-0,422859371	2135,22168
40,66761017	-0,413182706	2141,335938
40,76947784	-0,402054667	2147,450195
40,87152863	-0,39705348	2153,57251
40,97340393	-0,38745454	2159,685791
41,07538986	-0,376541406	2165,804443
41,17722702	-0,373591453	2171,916992
41,27918243	-0,368062466	2178,030029
41,38087082	-0,357116222	2184,13623
41,48274994	-0,338897467	2190,247314
41,58467484	-0,329090655	2196,359619
41,68655777	-0,318421572	2202,473145
41,78848648	-0,308553189	2208,590576
41,89025116	-0,30212158	2214,696533
41,99207306	-0,295769602	2220,804932
42,09382629	-0,287165225	2226,909912
42,1955986	-0,283609867	2233,015381
42,29733276	-0,286502749	2239,121094
42,39925385	-0,28467375	2245,237305
42,501194	-0,269861937	2251,35083
42,60297012	-0,246380553	2257,458008
42,7048111	-0,230280042	2263,570801
42,80675507	-0,228925064	2269,686279
42,90859985	-0,228143498	2275,795898
43,01054382	-0,231606781	2281,914551
43,11242676	-0,233253866	2288,030762
43,21446991	-0,233743638	2294,149414
43,31641006	-0,219793081	2300,265869
43,41827393	-0,207369447	2306,378418
43,52020264	-0,202517986	2312,494873
43,62211609	-0,20178774	2318,60791
43,72402954	-0,19828935	2324,723877
43,82595062	-0,192702755	2330,838867
43,92776108	-0,189944327	2336,94751
44,02961349	-0,183436245	2343,056396
44,13153458	-0,171699777	2349,170654
44,23342514	-0,162250966	2355,284424
44,33531952	-0,154310882	2361,401611
44,43728638	-0,147880316	2367,519043
44,53923416	-0,134997815	2373,635986
44,64113617	-0,132755756	2379,748535
44,74311447	-0,130347684	2385,866455
44,84492493	-0,122535899	2391,976807
44,94684601	-0,116628654	2398,092529
45,04878235	-0,110526197	2404,209961
45,15068054	-0,101526521	2410,321777
45,25255203	-0,084690601	2416,434082
45,35450363	-0,076066911	2422,550293
45,45643616	-0,067302793	2428,667969
45,55844498	-0,062116344	2434,789551
45,66029739	-0,052992091	2440,898682
45,76215744	-0,045500945	2447,013184
45,86405182	-0,040268801	2453,123291
45,96594238	-0,040213488	2459,235596
46,06778336	-0,03035878	2465,348389
46,16975784	-0,023598254	2471,467529
46,27179718	-0,018016512	2477,590088
46,37372589	-0,01374515	2483,704102
46,47560501	-0,007718541	2489,817627
46,57744217	-0,00267078	2495,92749
46,67949295	0,007238475	2502,052246
46,78144455	0,018927809	2508,170166
46,88334656	0,032814261	2514,281006
46,98516846	0,04431754	2520,391602
47,08712006	0,051650602	2526,506836
47,18915176	0,055391669	2532,629395
47,29112244	0,060248863	2538,748047
47,39302826	0,069106206	2544,862549
47,49505234	0,076969333	2550,98291
47,59695053	0,088550232	2557,0979
47,69883728	0,098450251	2563,211182
47,80064774	0,108054221	2569,319336
47,90254211	0,111697927	2575,432129
48,00446701	0,128444135	2581,549072
48,10630035	0,135061353	2587,659424
48,20829391	0,144000977	2593,7771
48,31027222	0,146595314	2599,897217
48,41223145	0,149926126	2606,014893
48,51409149	0,154462829	2612,124268
48,6159935	0,163817689	2618,240723
48,71792984	0,170289606	2624,35376
48,81985092	0,186673045	2630,469482
48,92173767	0,195540786	2636,586914
49,02368927	0,195315868	2642,699951
49,12547302	0,208471462	2648,809082
49,22726059	0,219301954	2654,915283
49,32910538	0,227321744	2661,0271
49,43105316	0,231897861	2667,142578
49,53287888	0,236996919	2673,253174
49,6348877	0,242169842	2679,374756
49,73693848	0,25056079	2685,495605
49,83887482	0,258891821	2691,611816
49,94068527	0,267228425	2697,721191
50,04246521	0,27109009	2703,827637
50,14424133	0,272447616	2709,93335
50,24618149	0,278620422	2716,050537
50,3481369	0,295955032	2722,166748
50,44997025	0,305778444	2728,276123
50,55186844	0,31016314	2734,390137
50,65368271	0,309992343	2740,499512
50,75574112	0,31572935	2746,623535
50,85762405	0,318993151	2752,735107
50,95967865	0,324462265	2758,856689
51,06158447	0,332696646	2764,973145
51,1634903	0,33797881	2771,087158
51,26541519	0,33893618	2777,202881
51,36743164	0,334968776	2783,32373
51,46924591	0,335398793	2789,435547
51,57127762	0,33994174	2795,554688
51,67316055	0,349357098	2801,66748
51,7751236	0,358600289	2807,784424
51,87704849	0,367364407	2813,9021
51,97901535	0,378050745	2820,020264
52,08094788	0,386285573	2826,13501
52,1829071	0,395395935	2832,254883
52,28475571	0,402863055	2838,364258
52,38682938	0,415641874	2844,489258
52,48875809	0,417182535	2850,604492
52,59069824	0,41672343	2856,720215
52,69259644	0,425197214	2862,832031
52,79449081	0,434941679	2868,948242
52,89648438	0,443610698	2875,068604
52,99830246	0,448522806	2881,176758
53,10021591	0,464554876	2887,292236
53,20210266	0,466884196	2893,406494
53,30387878	0,46735847	2899,512207
53,40582657	0,468435287	2905,626465
53,50766373	0,47512126	2911,739258
53,60954666	0,485772848	2917,852539
53,71143341	0,49389109	2923,963135
53,81337357	0,506768227	2930,082275
53,91522598	0,530039012	2936,192871
54,01725006	0,542297363	2942,314941
54,11922836	0,545468569	2948,432861
54,2211647	0,551618874	2954,549072
54,32314682	0,556920469	2960,666016
54,42496872	0,551964939	2966,7771
54,52688599	0,54990232	2972,893066
54,62890244	0,547476232	2979,013672
54,73085022	0,546676338	2985,129639
54,83287048	0,547923326	2991,250244
54,93487167	0,550834775	2997,371094
55,0368042	0,558945	3003,486816
55,13856506	0,565896094	3009,594482
55,24036789	0,566075563	3015,700684
55,34224701	0,567937136	3021,813721
55,44399261	0,570091844	3027,916016
55,54587173	0,583548069	3034,033203
55,64789581	0,592918336	3040,155029
55,74988937	0,605267823	3046,271729
55,8518219	0,625308692	3052,38623
55,95358658	0,639039338	3058,49292
56,0555191	0,646244466	3064,609375
56,15740204	0,648669302	3070,723389
56,25930023	0,646786392	3076,837158
56,36126328	0,645084381	3082,954346
56,46316528	0,64529109	3089,067139
56,56497955	0,648480058	3095,179443
56,66696167	0,660589397	3101,295898
56,7689476	0,665911913	3107,416016
56,87083435	0,669713676	3113,529053
56,9728508	0,671728015	3119,651367
57,07476425	0,675956488	3125,764893
57,17665482	0,678576529	3131,877197
57,27861786	0,68162477	3137,995117
57,38051224	0,696080267	3144,111084
57,48251343	0,70623666	3150,230469
57,58445358	0,709649086	3156,348633
57,68638992	0,705643415	3162,460205
57,78842163	0,706131577	3168,585205
57,89039993	0,708426178	3174,705566
57,99232864	0,707762837	3180,819092
58,09430313	0,706846952	3186,936768
58,19615555	0,710145414	3193,047607
58,29808044	0,719092488	3199,165039
58,39999771	0,723901033	3205,27832
58,50191116	0,721716642	3211,393555
58,60381317	0,722897232	3217,506592
58,70571518	0,726471424	3223,624512
58,80756378	0,728228688	3229,733398
58,9095459	0,729890764	3235,853271
59,01143265	0,734839797	3241,964355
59,11325836	0,740668595	3248,073975
59,21507263	0,745833695	3254,182129
59,31707001	0,747653186	3260,302246
59,41896057	0,754837513	3266,416748
59,52104187	0,759122372	3272,539551
59,62294006	0,761536002	3278,655518
59,72494507	0,761756301	3284,776367
59,82688522	0,765096426	3290,892334
59,92882538	0,765301704	3297,007324
60,03066635	0,761567652	3303,119873
60,13254166	0,758371055	3309,232666
60,23448944	0,755434692	3315,349854
60,33635712	0,753580749	3321,459473
60,43819046	0,753126442	3327,573486
60,54023361	0,7543782	3333,694092
60,64221954	0,7551108	3339,813721
60,74402237	0,75415349	3345,922607
60,84578705	0,75350523	3352,02832
60,94770432	0,753494322	3358,143555
61,0495491	0,752651513	3364,253662
61,15147781	0,750670135	3370,368164
61,25345993	0,750126719	3376,488037
61,35526657	0,749698997	3382,597412
61,45722961	0,749183655	3388,712158
61,55920792	0,747493386	3394,834229
61,6611557	0,743863881	3400,947998
61,76305389	0,74185276	3407,064209
61,86502838	0,739751279	3413,182617
61,96695709	0,734188855	3419,29834
62,06884384	0,734117389	3425,414795
62,17086792	0,731785059	3431,531738
62,27281189	0,72947371	3437,650391
62,37479782	0,728807807	3443,768311
62,47675705	0,728576541	3449,883545
62,57857132	0,725980997	3455,996094
62,68051529	0,716308534	3462,111816
62,78239441	0,700052321	3468,224121
62,88431549	0,692504764	3474,337891
62,98625183	0,683933437	3480,458008
63,08819199	0,676936686	3486,570313
63,19013977	0,667434573	3492,6875
63,29209137	0,658746123	3498,809082
63,3940506	0,641145706	3504,922852
63,49596024	0,623164594	3511,038086
63,59765244	0,616576076	3517,137207
63,69947052	0,61205399	3523,249023
63,80156326	0,606831849	3529,373047
63,90349197	0,60443902	3535,490234
64,00554657	0,605337799	3541,614014
64,10748291	0,610129774	3547,729248
64,20939636	0,610273004	3553,845459
64,3113327	0,607603788	3559,960205
64,41329956	0,612571299	3566,080811
64,5152359	0,618318021	3572,196533
64,61716461	0,62234211	3578,308594
64,71902466	0,623486161	3584,423828
64,82103729	0,625930965	3590,542969
64,92289734	0,627412677	3596,6521
65,02475739	0,629367113	3602,765137
65,12661743	0,632361293	3608,879639
65,22847748	0,636294007	3614,98999
65,33035278	0,636961579	3621,10376
65,4323349	0,63687396	3627,218262
65,53395081	0,637847066	3633,317139
65,63587952	0,640414953	3639,43335
65,73765564	0,645121992	3645,539551
65,83955383	0,657133639	3651,652588
65,94147491	0,676922977	3657,768066
66,04332733	0,697387755	3663,879883
66,14524078	0,701242685	3669,994873
66,24713898	0,701408625	3676,109131
66,34909058	0,705408752	3682,224854
66,4509201	0,708304584	3688,335205
66,55282593	0,713099062	3694,449463
66,65476227	0,720472157	3700,566406
66,7565918	0,748643577	3706,676758
66,85851288	0,792171836	3712,790771
66,96038818	0,809628308	3718,903809
67,06237793	0,816967905	3725,023682
67,16426086	0,841467202	3731,135742
67,26618195	0,841357529	3737,251221
67,36808014	0,83365804	3743,365234
67,47011566	0,824032962	3749,486572
67,57192993	0,829907179	3755,595947
67,67388916	0,836504817	3761,714844
67,77575684	0,842365086	3767,825195
67,87780762	0,839401603	3773,950195
67,97986603	0,838320374	3780,071777
68,08175659	0,841209829	3786,186768
68,18367767	0,841300488	3792,298584
68,28559113	0,841622531	3798,415527
68,38761139	0,841734529	3804,537109
68,48960876	0,843536735	3810,656982
68,59160614	0,846269727	3816,7771
68,6936264	0,845541298	3822,897705
68,79556274	0,844401717	3829,014893
68,89740753	0,840048194	3835,126709
68,99926758	0,834510148	3841,234863
69,1011734	0,831890881	3847,350098
69,20307922	0,831975639	3853,465332
69,3049469	0,829470217	3859,576416
69,40700531	0,828323901	3865,700684
69,50882721	0,82791853	3871,809814
69,61058044	0,824422598	3877,915283
69,71251678	0,822353423	3884,030273
69,81443787	0,816970348	3890,145996
69,91637421	0,81119746	3896,262695
