scan 720/11/202208:13:50						
temp(C)	power	time(seconds)				
38,83428192	-0,469508052	2031,313599				
38,93610382	-0,463621527	2037,422729				
39,03815842	-0,455092251	2043,546753				
39,14006805	-0,444741637	2049,659912				
39,24188995	-0,436445653	2055,770264				
39,34380341	-0,430368483	2061,883545				
39,44569397	-0,415888488	2067,999023				
39,54751587	-0,40280512	2074,107178				
39,64944839	-0,391376942	2080,224854				
39,75130081	-0,381470889	2086,335938				
39,8532486	-0,36785233	2092,44873				
39,95509338	-0,359528214	2098,561768				
40,05702972	-0,351576179	2104,676758				
40,15894699	-0,335510969	2110,792969				
40,26076508	-0,316072285	2116,9021				
40,36271667	-0,31103754	2123,018311				
40,46458817	-0,310720354	2129,130127				
40,56645966	-0,305879653	2135,243164				
40,66828918	-0,29600808	2141,352539				
40,77030945	-0,284141541	2147,470947				
40,87212372	-0,275544524	2153,58252				
40,97396088	-0,258220881	2159,692627				
41,07579803	-0,246782973	2165,80127				
41,17769623	-0,243387341	2171,914063				
41,27960968	-0,238839522	2178,031738				
41,38139725	-0,225499585	2184,137695				
41,48311996	-0,214018926	2190,240479				
41,58491135	-0,216097087	2196,348877				
41,6867218	-0,215319708	2202,457764				
41,7885704	-0,207511097	2208,569336				
41,89039612	-0,192073554	2214,678955				
41,99234772	-0,187623456	2220,794189				
42,09421921	-0,18231155	2226,907227				
42,19604874	-0,167411759	2233,018799				
42,29803085	-0,159938946	2239,135498				
42,40002823	-0,156204402	2245,256836				
42,50190735	-0,142277196	2251,370361				
42,60388184	-0,132195652	2257,486572				
42,70582962	-0,13003549	2263,604004				
42,80767822	-0,131431967	2269,716797				
42,90960312	-0,129939541	2275,82959				
43,01153183	-0,126775339	2281,946533				
43,11350632	-0,1144493	2288,06543				
43,21551132	-0,101722352	2294,18457				
43,31742859	-0,083662882	2300,300781				
43,41937637	-0,064093463	2306,417725				
43,52133179	-0,055681836	2312,536133				
43,62317657	-0,051564083	2318,645508				
43,72512054	-0,044422932	2324,762695				
43,82712936	-0,040196136	2330,882813				
43,92892838	-0,035216883	2336,989746				
44,03089523	-0,029869428	2343,108887				
44,13290024	-0,018247172	2349,230957				
44,23487854	-0,003626616	2355,3479				
44,33697891	0,003678756	2361,474854				
44,43899536	0,00630554	2367,594482				
44,54089737	0,016066249	2373,708008				
44,64271545	0,024220603	2379,818848				
44,74466324	0,029897904	2385,935303				
44,84658051	0,041997846	2392,050537				
44,94857788	0,050334457	2398,168213				
45,05048752	0,051200904	2404,285156				
45,15235138	0,058319356	2410,396729				
45,25431824	0,070592083	2416,513184				
45,35627747	0,077684745	2422,63208				
45,45822144	0,088301197	2428,745361				
45,56024933	0,094855882	2434,869873				
45,66206741	0,106388867	2440,979248				
45,76387405	0,11942815	2447,088135				
45,86584473	0,132474422	2453,204346				
45,96770096	0,1359144	2459,316162				
46,06958389	0,149227619	2465,428955				
46,17141342	0,154498443	2471,541016				
46,27318573	0,159576997	2477,645752				
46,37508774	0,169563726	2483,759766				
46,47698975	0,181360394	2489,874756				
46,5789299	0,190441996	2495,991699				
46,68092346	0,201949373	2502,109131				
46,78292084	0,209673062	2508,231689				
46,8849144	0,217507437	2514,350342				
46,98682022	0,228846014	2520,462646				
47,08877563	0,241675973	2526,583252				
47,1906662	0,250539422	2532,695557				
47,29253387	0,262501001	2538,808838				
47,39427185	0,265075505	2544,913574				
47,49612808	0,266112506	2551,020508				
47,59800339	0,270036191	2557,133545				
47,69977951	0,277887553	2563,243164				
47,80170059	0,284957737	2569,35498				
47,90361023	0,285577863	2575,46875				
48,00551224	0,296016753	2581,585449				
