1ptspool-77um-stp2l8-25deg-250rpm24/11/202208:29:18	
Time (seconds)	Raw Heat Rate (uJ / s)
729	-97,72148974
730	-97,72241282
731	-97,72333279
732	-97,72425368
733	-97,72517712
734	-97,72608409
735	-97,72691869
736	-97,72767704
737	-97,72841297
738	-97,72920875
739	-97,73012747
740	-97,73128143
741	-97,73270384
742	-97,73433934
743	-97,73611015
744	-97,73800331
745	-97,73996971
746	-97,74189152
747	-97,74372495
748	-97,74545827
749	-97,74712502
750	-97,74878887
751	-97,7505134
752	-97,75235591
753	-97,75435223
754	-97,75649433
755	-97,75876322
756	-97,76122993
757	-97,76395563
758	-97,76695449
759	-97,77017097
760	-97,773585
761	-97,77720711
762	-97,78097441
763	-97,78488174
764	-97,78895698
765	-97,79323899
766	-97,79774162
767	-97,80251861
768	-97,80755425
769	-97,81277383
770	-97,81814418
771	-97,82348577
772	-97,828648
773	-97,83359283
774	-97,83825934
775	-97,84268416
776	-97,84707077
777	-97,85160643
778	-97,85632176
779	-97,86118435
780	-97,86610315
781	-97,87099323
782	-97,87578921
783	-97,88047645
784	-97,88507555
785	-97,88951963
786	-97,89388101
787	-97,89832291
788	-97,90288143
789	-97,90760537
790	-97,91252055
791	-97,91752171
792	-97,92245679
793	-97,92732573
794	-97,93216835
795	-97,93691552
796	-97,94149892
797	-97,94580561
798	-97,94972682
799	-97,95327488
800	-97,95653448
801	-97,95955469
802	-97,9622672
803	-97,96467166
804	-97,96681668
805	-97,96870254
806	-97,9703468
807	-97,97182778
808	-97,97315387
809	-97,97432737
810	-97,97547117
811	-97,97659193
812	-97,97771866
813	-97,97893479
814	-97,98022404
815	-97,98155092
816	-97,98290285
817	-97,98434259
818	-97,98590142
819	-97,98754493
820	-97,98917487
821	-97,99072369
822	-97,99221826
823	-97,99370246
824	-97,99513165
825	-97,99644676
826	-97,9976866
827	-97,99889988
828	-98,0000966
829	-98,00134004
830	-98,00267882
831	-98,00408596
832	-98,0056445
833	-98,00753397
834	-98,009687
835	-98,01187946
836	-98,01387001
837	-98,01563272
838	-98,01717404
839	-98,0185488
840	-98,01986774
841	-98,02124708
842	-98,02275352
843	-98,02440907
844	-98,02620157
845	-98,02808607
846	-98,030041
847	-98,03192012
848	-98,03347281
849	-98,03475211
850	-98,03605897
851	-98,03770456
852	-98,03969966
853	-98,04199491
854	-98,04448146
855	-98,04706368
856	-98,04969886
857	-98,05227817
858	-98,05467983
859	-98,05680601
860	-98,05865793
861	-98,06028056
862	-98,0616339
863	-98,06268594
864	-98,06347022
865	-98,06400632
866	-98,06420565
867	-98,06404788
868	-98,06359857
869	-98,06288562
870	-98,06191753
871	-98,06072048
872	-98,0593407
873	-98,05785737
874	-98,05635537
875	-98,05484325
876	-98,05335933
877	-98,05203304
878	-98,05098257
879	-98,05022261
880	-98,04972838
881	-98,0495457
882	-98,04966839
883	-98,05000927
884	-98,05059238
885	-98,0514887
886	-98,05264591
887	-98,05399957
888	-98,05559148
889	-98,0574724
890	-98,05963011
891	-98,06203703
892	-98,06462196
893	-98,06729856
894	-98,07004141
895	-98,07280193
896	-98,07551161
897	-98,07815574
898	-98,08073765
899	-98,08323421
900	-98,08562082
901	-98,08794761
902	-98,09028089
903	-98,09253855
904	-98,09460754
905	-98,09644635
906	-98,09800583
907	-98,09924497
908	-98,10017737
909	-98,10084273
910	-98,10130823
911	-98,10167772
912	-98,10204169
913	-98,10241905
914	-98,10282536
915	-98,10323203
916	-98,10352441
917	-98,10363265
918	-98,10355404
919	-98,10327799
920	-98,10285309
921	-98,10229457
922	-98,1016337
923	-98,10092576
924	-98,10019778
925	-98,09946926
926	-98,09871606
927	-98,09783256
928	-98,09677595
929	-98,09562377
930	-98,0944437
931	-98,09338435
932	-98,09250502
933	-98,09183928
934	-98,09145889
935	-98,09134835
936	-98,09153747
937	-98,09207379
938	-98,09293506
939	-98,09403027
940	-98,09534395
941	-98,09687283
942	-98,09864328
943	-98,10067298
944	-98,10285316
945	-98,10511762
946	-98,10742326
947	-98,10978666
948	-98,11218352
949	-98,11457231
950	-98,11690074
951	-98,11911436
952	-98,12121037
953	-98,12321803
954	-98,12520045
955	-98,12711743
956	-98,12893307
957	-98,1306845
958	-98,13243927
959	-98,13426758
960	-98,13620201
961	-98,13820958
962	-98,14028487
963	-98,14239881
964	-98,1444825
965	-98,14654533
966	-98,14858965
967	-98,15060267
968	-98,15258195
969	-98,15450531
970	-98,15639434
971	-98,15831557
972	-98,16029448
973	-98,16221963
974	-98,16398873
975	-98,16556547
976	-98,16698689
977	-98,16822994
978	-98,16931621
979	-98,1703242
980	-98,17127068
981	-98,17214339
982	-98,17286927
983	-98,17344809
984	-98,17387758
985	-98,17411322
986	-98,17411022
987	-98,17379513
988	-98,17325753
989	-98,17259513
990	-98,17186638
991	-98,17110746
992	-98,17032781
993	-98,16950529
994	-98,16860384
995	-98,16762617
996	-98,16660269
997	-98,16561447
998	-98,16467408
999	-98,1639138
1000	-98,16355767
1001	-98,16357847
1002	-98,16386511
1003	-98,16411801
1004	-98,16410367
1005	-98,16387365
1006	-98,16347156
1007	-98,16296886
1008	-98,16247119
1009	-98,16204715
1010	-98,16176325
1011	-98,16166385
1012	-98,16174391
1013	-98,16197019
1014	-98,16212233
1015	-98,16192219
1016	-98,16138789
1017	-98,16064457
1018	-98,16004734
1019	-98,15984325
1020	-98,15981708
1021	-98,15974601
1022	-98,1595323
1023	-98,15908184
1024	-98,15833951
1025	-98,15728229
1026	-98,15589808
1027	-98,1541693
1028	-98,15219598
1029	-98,15013113
1030	-98,1481375
1031	-98,14627111
1032	-98,14452656
1033	-98,14282547
1034	-98,14108086
1035	-98,13933187
1036	-98,13766218
1037	-98,13606483
1038	-98,13454488
1039	-98,13318811
1040	-98,13210981
1041	-98,13138862
1042	-98,13109429
1043	-98,13111914
1044	-98,13129635
1045	-98,1314389
1046	-98,13150551
1047	-98,1315452
1048	-98,13154076
1049	-98,13149849
1050	-98,13152738
1051	-98,13168069
1052	-98,13201506
1053	-98,13253331
1054	-98,13311637
1055	-98,13359926
1056	-98,13393181
1057	-98,13409721
1058	-98,1340927
1059	-98,13397359
1060	-98,1338054
1061	-98,13356952
1062	-98,13326032
1063	-98,13287689
